"WR","Corey Coleman",4100,"Cle@Buf 01:00PM ET",11.071,"Cle"
"RB","Tim Hightower",4100,"NO@Ari 04:05PM ET",7.392,"NO"
"TE","Antonio Gates",4100,"Oak@SD 04:25PM ET",9.709,"SD"
"RB","Jeremy Langford",4000,"GB@Chi 01:00PM ET",6.000,"Chi"
"WR","Marqise Lee",4000,"Jax@Hou 01:00PM ET",11.331,"Jax"
"RB","Darren Sproles",4000,"Phi@Bal 01:00PM ET",11.123,"Phi"
"RB","Shane Vereen",4000,"Det@NYG 01:00PM ET",9.050,"NYG"
"RB","Jerick McKinnon",4000,"Ind@Min 01:00PM ET",7.733,"Min"
"WR","Michael Floyd",4000,"NO@Ari 04:05PM ET",8.046,"Ari"
"TE","Martellus Bennett",4000,"NE@Den 04:25PM ET",11.033,"NE"
"RB","Ryan Mathews",3900,"Phi@Bal 01:00PM ET",10.918,"Phi"
"RB","Terrance West",3900,"Phi@Bal 01:00PM ET",11.267,"Bal"
"TE","Delanie Walker",3900,"Ten@KC 01:00PM ET",13.317,"Ten"
"WR","J.J. Nelson",3900,"NO@Ari 04:05PM ET",7.633,"Ari"
"RB","DuJuan Harris",3900,"SF@Atl 04:05PM ET",5.143,"SF"
"DST","Falcons ",3900,"SF@Atl 04:05PM ET",7.308,"Atl"
"RB","Dion Lewis",3900,"NE@Den 04:25PM ET",8.500,"NE"
"RB","Charles Sims",3800,"TB@Dal 08:30PM ET",11.160,"TB"
"TE","Cameron Brate",3800,"TB@Dal 08:30PM ET",11.115,"TB"
"DST","Texans ",3800,"Jax@Hou 01:00PM ET",5.538,"Hou"
"RB","Kenneth Dixon",3800,"Phi@Bal 01:00PM ET",6.075,"Bal"
"RB","Wendell Smallwood",3800,"Phi@Bal 01:00PM ET",4.131,"Phi"
"RB","Paul Perkins",3800,"Det@NYG 01:00PM ET",4.755,"NYG"
"WR","Phillip Dorsett",3800,"Ind@Min 01:00PM ET",6.283,"Ind"
"WR","John Brown",3800,"NO@Ari 04:05PM ET",6.742,"Ari"
"WR","Chris Hogan",3800,"NE@Den 04:25PM ET",8.691,"NE"
"WR","Travis Benjamin",3800,"Oak@SD 04:25PM ET",9.775,"SD"
"WR","Adam Humphries",3700,"TB@Dal 08:30PM ET",8.458,"TB"
"RB","Chris Ivory",3700,"Jax@Hou 01:00PM ET",8.411,"Jax"
"DST","Bills ",3700,"Cle@Buf 01:00PM ET",7.231,"Buf"
"TE","Eric Ebron",3700,"Det@NYG 01:00PM ET",10.720,"Det"
"TE","Ladarius Green",3700,"Pit@Cin 01:00PM ET",9.040,"Pit"
"TE","C.J. Fiedorowicz",3600,"Jax@Hou 01:00PM ET",8.962,"Hou"
"RB","Kenjon Barner",3600,"Phi@Bal 01:00PM ET",2.417,"Phi"
"RB","James White",3600,"NE@Den 04:25PM ET",10.267,"NE"
"DST","Broncos ",3600,"NE@Den 04:25PM ET",10.462,"Den"
"WR","Eli Rogers",3600,"Pit@Cin 01:00PM ET",8.540,"Pit"
"RB","Christine Michael",3500,"GB@Chi 01:00PM ET",10.533,"GB"
"WR","Robert Woods",3500,"Cle@Buf 01:00PM ET",10.480,"Buf"
"WR","Dorial Green-Beckham",3500,"Phi@Bal 01:00PM ET",6.742,"Phi"
"RB","Dwayne Washington",3500,"Det@NYG 01:00PM ET",4.344,"Det"
"DST","Vikings ",3500,"Ind@Min 01:00PM ET",10.538,"Min"
